,X,X600478.SS.Open,X600478.SS.High,X600478.SS.Low,X600478.SS.Close,X600478.SS.Volume,X600478.SS.Adjusted,X600478.SS.Close.1,X600479.SS.Open,X600479.SS.High,X600479.SS.Low,X600479.SS.Close,X600479.SS.Volume,X600479.SS.Adjusted,X600479.SS.Close.1,X600480.SS.Open,X600480.SS.High,X600480.SS.Low,X600480.SS.Close,X600480.SS.Volume,X600480.SS.Adjusted,X600480.SS.Close.1,X600481.SS.Open,X600481.SS.High,X600481.SS.Low,X600481.SS.Close,X600481.SS.Volume,X600481.SS.Adjusted,X600481.SS.Close.1,X600482.SS.Open,X600482.SS.High,X600482.SS.Low,X600482.SS.Close,X600482.SS.Volume,X600482.SS.Adjusted,X600482.SS.Close.1,X600483.SS.Open,X600483.SS.High,X600483.SS.Low,X600483.SS.Close,X600483.SS.Volume,X600483.SS.Adjusted,X600483.SS.Close.1,X600485.SS.Open,X600485.SS.High,X600485.SS.Low,X600485.SS.Close,X600485.SS.Volume,X600485.SS.Adjusted,X600485.SS.Close.1,X600486.SS.Open,X600486.SS.High,X600486.SS.Low,X600486.SS.Close,X600486.SS.Volume,X600486.SS.Adjusted,X600486.SS.Close.1,X600487.SS.Open,X600487.SS.High,X600487.SS.Low,X600487.SS.Close,X600487.SS.Volume,X600487.SS.Adjusted,X600487.SS.Close.1,X600488.SS.Open,X600488.SS.High,X600488.SS.Low,X600488.SS.Close,X600488.SS.Volume,X600488.SS.Adjusted,X600488.SS.Close.1,X600489.SS.Open,X600489.SS.High,X600489.SS.Low,X600489.SS.Close,X600489.SS.Volume,X600489.SS.Adjusted,X600489.SS.Close.1,X600490.SS.Open,X600490.SS.High,X600490.SS.Low,X600490.SS.Close,X600490.SS.Volume,X600490.SS.Adjusted,X600490.SS.Close.1,X600491.SS.Open,X600491.SS.High,X600491.SS.Low,X600491.SS.Close,X600491.SS.Volume,X600491.SS.Adjusted,X600491.SS.Close.1,X600493.SS.Open,X600493.SS.High,X600493.SS.Low,X600493.SS.Close,X600493.SS.Volume,X600493.SS.Adjusted,X600493.SS.Close.1,X600495.SS.Open,X600495.SS.High,X600495.SS.Low,X600495.SS.Close,X600495.SS.Volume,X600495.SS.Adjusted,X600495.SS.Close.1,X600496.SS.Open,X600496.SS.High,X600496.SS.Low,X600496.SS.Close,X600496.SS.Volume,X600496.SS.Adjusted,X600496.SS.Close.1,X600497.SS.Open,X600497.SS.High,X600497.SS.Low,X600497.SS.Close,X600497.SS.Volume,X600497.SS.Adjusted,X600497.SS.Close.1,X600498.SS.Open,X600498.SS.High,X600498.SS.Low,X600498.SS.Close,X600498.SS.Volume,X600498.SS.Adjusted,X600498.SS.Close.1,X600500.SS.Open,X600500.SS.High,X600500.SS.Low,X600500.SS.Close,X600500.SS.Volume,X600500.SS.Adjusted,X600499.SS.Open,X600499.SS.High,X600499.SS.Low,X600499.SS.Close,X600499.SS.Volume,X600499.SS.Adjusted,X600499.SS.Close.1,X600500.SS.Close.1,X600501.SS.Open,X600501.SS.High,X600501.SS.Low,X600501.SS.Close,X600501.SS.Volume,X600501.SS.Adjusted,X600501.SS.Close.1,X600502.SS.Open,X600502.SS.High,X600502.SS.Low,X600502.SS.Close,X600502.SS.Volume,X600502.SS.Adjusted,X600502.SS.Close.1,X600503.SS.Open,X600503.SS.High,X600503.SS.Low,X600503.SS.Close,X600503.SS.Volume,X600503.SS.Adjusted,X600503.SS.Close.1,X600505.SS.Open,X600505.SS.High,X600505.SS.Low,X600505.SS.Close,X600505.SS.Volume,X600505.SS.Adjusted,X600505.SS.Close.1,X600506.SS.Open,X600506.SS.High,X600506.SS.Low,X600506.SS.Close,X600506.SS.Volume,X600506.SS.Adjusted,X600506.SS.Close.1
1,2018/3/6,6.21,6.23,6.15,6.23,5479436,6.23,0.004864533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.12,7.13,7.05,7.12,2164923,6.545393,0.015639338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.45,9.45,9.45,9.45,0,9.45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,6.91,6.56,6.88,78617706,6.517935,-0.012013755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59167,5.64167,5.55833,5.64167,9596050,5.405304,0.003032171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2018/3/7,6.24,6.24,6.09,6.09,4995090,6.09,-0.017607378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14,7.25,7.08,7.11,3924394,6.536201,0.014234843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.45,9.45,9.45,9.45,0,9.45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87,6.87,6.66,6.7,49351564,6.347407,-0.038176546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65,5.65833,5.56667,5.56667,9239662,5.333446,-0.010261765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2018/3/8,6.06,6.16,6.06,6.12,3730347,6.12,-0.012681269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.11,7.25,7.11,7.15,3116959,6.572972,0.019860722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47,4.56,4.45,4.55,2841102,4.417057,0.020278756,NA,NA,NA,NA,NA,NA,NA,10,10.28,9.45,9.5,117150186,9.5,0.005291005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38,5.41,5.35,5.4,3991214,5.371972,0.000302389,NA,NA,NA,NA,NA,NA,NA,6.66,6.82,6.66,6.74,33330151,6.385302,-0.032206396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56667,5.6,5.55,5.59167,7810413,5.357399,-0.00577075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2018/3/9,6.11,6.25,6.1,6.24,7184707,6.24,0.006926574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,7.25,7.16,7.2,2605704,6.618937,0.026853729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,4.59,4.5,4.57,2619850,4.436472,0.02467436,NA,NA,NA,NA,NA,NA,NA,9.33,9.53,9.1,9.41,62558549,9.41,-0.004182679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,5.5,5.38,5.46,8515371,5.43166,0.011413501,NA,NA,NA,NA,NA,NA,NA,6.66,6.75,6.65,6.73,36726638,6.375828,-0.033690076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58333,5.63333,5.58333,5.625,9027444,5.389332,0.000189902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2018/3/12,6.27,6.4,6.25,6.35,9481958,6.35,0.024554779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,7.34,7.18,7.32,3678651,6.729253,0.043520396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,4.63,4.53,4.6,2750695,4.465596,0.031238912,NA,NA,NA,NA,NA,NA,NA,9.5,10.19,9.37,9.92,90828732,9.92,0.050014983,NA,NA,NA,NA,NA,NA,NA,7.48,8.06,7.46,7.9,5679325,7.810619,0.091841307,5.46,5.57,5.45,5.56,10515415,5.531141,0.029728519,NA,NA,NA,NA,NA,NA,NA,6.78,6.87,6.74,6.85,56232702,6.489513,-0.015859467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63333,5.69167,5.63333,5.675,11379986,5.437237,0.009078791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2018/3/12,6.27,6.4,6.25,6.35,9481958,6.35,0.024554779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,7.34,7.18,7.32,3678651,6.729253,0.043520396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,4.63,4.53,4.6,2750695,4.465596,0.031238912,NA,NA,NA,NA,NA,NA,NA,9.5,10.19,9.37,9.92,90828732,9.92,0.050014983,NA,NA,NA,NA,NA,NA,NA,7.48,8.06,7.46,7.9,5679325,7.810619,0.091841307,5.46,5.57,5.45,5.56,10515415,5.531141,0.029728519,NA,NA,NA,NA,NA,NA,NA,6.78,6.87,6.74,6.85,56232702,6.489513,-0.015859467,NA,NA,NA,NA,NA,NA,NA,5.90769,6.01538,5.90769,5.98461,16460206,5.778668,10.08,10.64,10.04,10.51,58347794,10.443058,0.034635927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2018/3/13,6.39,6.4,6.26,6.33,10374105,6.33,0.021405173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29,7.37,7.25,7.29,2352800,6.701674,0.039422035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,4.62,4.55,4.57,2201100,4.436472,0.024717173,NA,NA,NA,NA,NA,NA,NA,9.88,10.72,9.8,10.3,95211591,10.3,0.088321435,NA,NA,NA,NA,NA,NA,NA,7.83,7.85,7.7,7.75,2942925,7.662316,0.072853965,5.6,5.62,5.5,5.52,7614861,5.491349,0.022534274,NA,NA,NA,NA,NA,NA,NA,6.81,6.84,6.77,6.79,32170948,6.432671,-0.024618591,NA,NA,NA,NA,NA,NA,NA,5.96154,6.06923,5.94615,6.00769,13919393,5.800955,10.45,10.77,10.42,10.48,47178029,10.413248,0.031781503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2018/3/13,6.39,6.4,6.26,6.33,10374105,6.33,0.021405173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29,7.37,7.25,7.29,2352800,6.701674,0.039422035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,4.62,4.55,4.57,2201100,4.436472,0.024717173,NA,NA,NA,NA,NA,NA,NA,9.88,10.72,9.8,10.3,95211591,10.3,0.088321435,NA,NA,NA,NA,NA,NA,NA,7.83,7.85,7.7,7.75,2942925,7.662316,0.072853965,5.6,5.62,5.5,5.52,7614861,5.491349,0.022534274,NA,NA,NA,NA,NA,NA,NA,6.81,6.84,6.77,6.79,32170948,6.432671,-0.024618591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.675,5.675,5.59167,5.60833,10303911,5.37336,-0.002669226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2018/3/14,6.28,6.58,6.26,6.32,12172834,6.32,0.019825394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26,7.4,7.26,7.33,2092819,6.738445,0.044909004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,4.58,4.51,4.52,1603988,4.387933,0.013776254,NA,NA,NA,NA,NA,NA,NA,10.2,10.58,10.01,10.08,85152336,10.08,0.066962211,NA,NA,NA,NA,NA,NA,NA,7.72,7.72,7.65,7.68,1938281,7.593109,0.063821707,5.5,5.51,5.41,5.43,7021324,5.401816,0.006229926,NA,NA,NA,NA,NA,NA,NA,6.81,7,6.81,6.9,68160441,6.536882,-0.008418296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,5.625,5.575,5.6,7449433,5.365379,-0.004154517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2018/3/14,6.28,6.58,6.26,6.32,12172834,6.32,0.019825394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26,7.4,7.26,7.33,2092819,6.738445,0.044909004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,4.58,4.51,4.52,1603988,4.387933,0.013776254,NA,NA,NA,NA,NA,NA,NA,10.2,10.58,10.01,10.08,85152336,10.08,0.066962211,NA,NA,NA,NA,NA,NA,NA,7.72,7.72,7.65,7.68,1938281,7.593109,0.063821707,5.5,5.51,5.41,5.43,7021324,5.401816,0.006229926,NA,NA,NA,NA,NA,NA,NA,6.81,7,6.81,6.9,68160441,6.536882,-0.008418296,NA,NA,NA,NA,NA,NA,NA,5.99231,6.03846,5.91538,5.93846,9388771,5.734107,10.52,10.73,10.42,10.43,34894640,10.363567,0.027010511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2018/3/15,6.23,6.32,6.14,6.24,7990565,6.24,0.007167166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,7.33,7.21,7.27,2579082,6.683288,0.036723465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52,4.57,4.47,4.49,1954300,4.358809,0.007139085,NA,NA,NA,NA,NA,NA,NA,10.2,10.28,9.83,10.1,73849397,10.1,0.068946338,NA,NA,NA,NA,NA,NA,NA,7.61,7.84,7.56,7.6,2055400,7.514014,0.05340504,5.43,5.6,5.38,5.56,15510716,5.531141,0.030170995,NA,NA,NA,NA,NA,NA,NA,6.83,6.89,6.75,6.81,38689760,6.451618,-0.021461774,NA,NA,NA,NA,NA,NA,NA,5.93846,6.14615,5.85385,6.02308,18218848,5.815815,10.38,10.39,10.06,10.29,30189236,10.224459,0.013587692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2018/3/15,6.23,6.32,6.14,6.24,7990565,6.24,0.007167166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,7.33,7.21,7.27,2579082,6.683288,0.036723465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52,4.57,4.47,4.49,1954300,4.358809,0.007139085,NA,NA,NA,NA,NA,NA,NA,10.2,10.28,9.83,10.1,73849397,10.1,0.068946338,NA,NA,NA,NA,NA,NA,NA,7.61,7.84,7.56,7.6,2055400,7.514014,0.05340504,5.43,5.6,5.38,5.56,15510716,5.531141,0.030170995,NA,NA,NA,NA,NA,NA,NA,6.83,6.89,6.75,6.81,38689760,6.451618,-0.021461774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58333,5.60833,5.5,5.55,9040644,5.317474,-0.013083088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2018/3/16,6.26,6.26,6.06,6.13,10374213,6.13,-0.010461039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36,7.62,7.29,7.5,7955411,6.894726,0.068360329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.55,4.5,4.51,1633387,4.378226,0.011593428,NA,NA,NA,NA,NA,NA,NA,10,10,9.73,9.77,53351290,9.77,0.036273071,NA,NA,NA,NA,NA,NA,NA,7.6,7.77,7.55,7.63,1239345,7.543674,0.057352409,5.55,5.7,5.52,5.6,17863824,5.570933,0.037365239,NA,NA,NA,NA,NA,NA,NA,6.82,6.82,6.66,6.7,32311556,6.347407,-0.037614491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54167,5.60833,5.525,5.53333,7448814,5.301503,-0.016086692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2018/3/16,6.26,6.26,6.06,6.13,10374213,6.13,-0.010461039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36,7.62,7.29,7.5,7955411,6.894726,0.068360329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.55,4.5,4.51,1633387,4.378226,0.011593428,NA,NA,NA,NA,NA,NA,NA,10,10,9.73,9.77,53351290,9.77,0.036273071,NA,NA,NA,NA,NA,NA,NA,7.6,7.77,7.55,7.63,1239345,7.543674,0.057352409,5.55,5.7,5.52,5.6,17863824,5.570933,0.037365239,NA,NA,NA,NA,NA,NA,NA,6.82,6.82,6.66,6.7,32311556,6.347407,-0.037614491,NA,NA,NA,NA,NA,NA,NA,5.99231,6.06154,5.93846,5.96923,9865402,5.763818,10.22,10.31,9.99,10.03,25463314,9.966115,-0.011679558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2018/3/19,6.04,6.12,6.04,6.07,4352750,6.07,-0.020248967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47,7.87,7.4,7.85,8817978,7.21648,0.115026995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,4.55,4.49,4.54,1879900,4.407349,0.018245313,NA,NA,NA,NA,NA,NA,NA,9.76,10.03,9.5,9.88,55694000,9.88,0.047532027,NA,NA,NA,NA,NA,NA,NA,7.58,7.66,7.5,7.53,1181080,7.444806,0.044246249,5.6,5.69,5.47,5.63,12659220,5.600778,0.042722382,NA,NA,NA,NA,NA,NA,NA,6.69,6.73,6.6,6.71,27723005,6.356881,-0.036121954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54167,5.59167,5.525,5.55,5227560,5.317474,-0.013074039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2018/3/19,6.04,6.12,6.04,6.07,4352750,6.07,-0.020248967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47,7.87,7.4,7.85,8817978,7.21648,0.115026995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,4.55,4.49,4.54,1879900,4.407349,0.018245313,NA,NA,NA,NA,NA,NA,NA,9.76,10.03,9.5,9.88,55694000,9.88,0.047532027,NA,NA,NA,NA,NA,NA,NA,7.58,7.66,7.5,7.53,1181080,7.444806,0.044246249,5.6,5.69,5.47,5.63,12659220,5.600778,0.042722382,NA,NA,NA,NA,NA,NA,NA,6.69,6.73,6.6,6.71,27723005,6.356881,-0.036121954,NA,NA,NA,NA,NA,NA,NA,5.94615,6.03846,5.92308,5.96154,6391015,5.756393,9.98,10.07,9.92,9.97,17946184,9.906497,-0.017661612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2018/3/20,6.04,6.06,5.91,5.96,6858024,5.96,-0.038370878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.84,7.84,7.66,7.75,4722510,7.12455,0.102288142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,4.69,4.51,4.67,6917891,4.53355,0.046879674,NA,NA,NA,NA,NA,NA,NA,9.7,9.9,9.5,9.65,43747955,9.65,0.024252675,NA,NA,NA,NA,NA,NA,NA,7.53,7.54,7.41,7.51,1173800,7.425032,0.041590206,5.56,5.72,5.54,5.69,15643155,5.660467,0.053379576,NA,NA,NA,NA,NA,NA,NA,6.63,6.73,6.6,6.72,21862828,6.366354,-0.034631641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55,5.55,5.475,5.54167,6103852,5.309493,-0.01457494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2018/3/20,6.04,6.06,5.91,5.96,6858024,5.96,-0.038370878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.84,7.84,7.66,7.75,4722510,7.12455,0.102288142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,4.69,4.51,4.67,6917891,4.53355,0.046879674,NA,NA,NA,NA,NA,NA,NA,9.7,9.9,9.5,9.65,43747955,9.65,0.024252675,NA,NA,NA,NA,NA,NA,NA,7.53,7.54,7.41,7.51,1173800,7.425032,0.041590206,5.56,5.72,5.54,5.69,15643155,5.660467,0.053379576,NA,NA,NA,NA,NA,NA,NA,6.63,6.73,6.6,6.72,21862828,6.366354,-0.034631641,NA,NA,NA,NA,NA,NA,NA,5.92308,6.00769,5.90769,5.96154,8851430,5.756393,9.97,10.07,9.85,9.99,14691997,9.92637,-0.015655594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2018/3/21,5.95,6.08,5.95,5.96,5716059,5.96,-0.038370878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8.14,7.73,7.78,8214119,7.152129,0.10615911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63,4.72,4.62,4.7,6155806,4.562674,0.053303657,NA,NA,NA,NA,NA,NA,NA,9.7,9.81,9.33,9.39,37161390,9.39,-0.00269033,NA,NA,NA,NA,NA,NA,NA,7.53,7.89,7.5,7.63,3059471,7.543674,0.057568901,5.7,5.88,5.63,5.68,20154964,5.650518,0.051622106,NA,NA,NA,NA,NA,NA,NA,6.7,6.84,6.62,6.65,35295027,6.300039,-0.045048307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.74,10.18,9.74,9.97,6372517,9.97,0.064575148,5.55,5.625,5.50833,5.6,10548998,5.365379,-0.004049232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.46,15.65,15.2,15.28,2648136,15.28,0.024028523
